Production_lid,Output_Voucher_No,Output_Voucher_Date,FG_name,Output_Item_Code,Output_Item_Name,Output_Batch_No,Output_Purity,Output_Recovery,Output_UOM,Output_Quantity,JobWork_Rate,JobWork_Value,Output_Rate,Output_Value
139094,SSM2223JWGRN00134,18/11/2022,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#AAL/348/22-23,,,KGS,2850.0,13.5,38475.0,22.149,63125.0
183132,SSM2223JWGRN00288,24/01/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#AAL/457/22-23,,,KGS,3345.0,13.5,45157.5,23.643,79087.5
247792,SSM2324JWGRN00051,30/04/2023,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#22+23/23,0,0,KGS,1095.0,180.81,197986.95,1833.976,2008203.688
272544,SSM2324JWGRN00097,07/06/2023,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#46+47/23,0,0,KGS,1085.0,180.81,196178.85,1804.536,1957921.651
327067,SSM2324JWGRN00194,10/09/2023,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#66+67+68+69+70/24,0,0,KGS,2410.0,180.81,435752.1,2051.217,4943432.726
634310,SSM2425JWGRN00130,01/03/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#122+123+124+125/25,94.14,100,KGS,1740.0,0.0,0.0,1778.188,3094047.981
214879,SSM2223JWGRN00364,07/03/2023,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#101+102/22,0,0,KGS,1590.0,180.81,287487.9,2350.532,3737345.097
214884,SSM2223JWGRN00365,11/03/2023,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#103+104/22,0,0,KGS,1135.0,180.81,205219.35,3223.239,3658376.547
215304,SSM2223JWGRN00367,15/03/2023,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#107+108/22,0,0,KGS,1225.0,180.81,221492.25,2997.52,3671961.447
226734,SSM2324JWGRN00001,01/04/2023,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#119+120/23,0,0,KGS,995.0,180.81,179905.95,1912.855,1903290.588
243338,SSM2324JWGRN00041,27/04/2023,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#18+19+20+21/23,0,0,KGS,2220.0,180.81,401398.2,1820.6,4041733.035
270114,SSM2324JWGRN00094,03/06/2023,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#44+45/23,0,0,KGS,1055.0,180.81,190754.55,1861.695,1964088.324
621054,SSM2425JWGRN00119,09/02/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#82+83/25,93.82,100,KGS,1075.0,0.0,0.0,1485.271,1596666.25
605725,SSM2425JWGRN00110,11/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#32+33/25,92.27,100,KGS,1185.0,0.0,0.0,1319.407,1563497.214
605755,SSM2425JWGRN00112,13/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#36+37/25,90.40,100,KGS,1085.0,0.0,0.0,1441.011,1563497.214
